,Unnamed: 0,title,date,stock
5675,186465.0,[[0.9999999]],2014-10-07 12:27:00-04:00,BRK
6029,186819.0,[[0.9999999]],2014-10-07 12:27:00-04:00,BRK
2491,931544.0,[[1.6535774e-05]],2014-10-10 12:08:00-04:00,NVDA
2490,931543.0,[[0.99999756]],2014-10-13 08:20:00-04:00,NVDA
2489,931542.0,[[0.99970627]],2014-10-21 10:42:00-04:00,NVDA
2488,931541.0,[[0.99995077]],2014-10-21 14:21:00-04:00,NVDA
2487,931540.0,[[0.13928986]],2014-10-21 20:34:00-04:00,NVDA
6028,186818.0,[[0.00016135]],2014-10-22 15:29:00-04:00,BRK
2486,931539.0,[[0.99991715]],2014-11-03 06:23:00-05:00,NVDA
2485,931538.0,[[0.00071786]],2014-11-03 07:28:00-05:00,NVDA
2484,931537.0,[[0.9999912]],2014-11-03 09:43:00-05:00,NVDA
2483,931536.0,[[0.9999961]],2014-11-03 15:42:00-05:00,NVDA
2482,931535.0,[[0.99998635]],2014-11-03 20:17:00-05:00,NVDA
2481,931534.0,[[0.9923458]],2014-11-04 09:59:00-05:00,NVDA
2480,931533.0,[[0.9955626]],2014-11-06 05:04:00-05:00,NVDA
2479,931532.0,[[0.99098337]],2014-11-06 05:42:00-05:00,NVDA
2478,931531.0,[[0.94772214]],2014-11-06 06:16:00-05:00,NVDA
2477,931530.0,[[0.99996257]],2014-11-06 13:14:00-05:00,NVDA
2476,931529.0,[[0.9983175]],2014-11-06 16:20:00-05:00,NVDA
2475,931528.0,[[0.99998426]],2014-11-07 07:37:00-05:00,NVDA
2474,931527.0,[[0.9961005]],2014-11-07 08:09:00-05:00,NVDA
2473,931526.0,[[0.9901673]],2014-11-07 08:40:00-05:00,NVDA
6027,186817.0,[[0.00019004]],2014-11-08 20:27:00-05:00,BRK
5674,186464.0,[[0.00019004]],2014-11-08 20:27:00-05:00,BRK
2472,931525.0,[[0.99993455]],2014-11-12 16:38:00-05:00,NVDA
2471,931524.0,[[0.00165879]],2014-11-19 06:40:00-05:00,NVDA
6026,186816.0,[[0.9997249]],2014-11-19 07:18:00-05:00,BRK
2470,931523.0,[[0.01079391]],2014-11-21 14:13:00-05:00,NVDA
6025,186815.0,[[0.9994899]],2014-11-21 14:33:00-05:00,BRK
6024,186814.0,[[0.99940044]],2014-11-25 14:06:00-05:00,BRK
2469,931522.0,[[0.9428189]],2014-12-08 09:45:00-05:00,NVDA
2468,931521.0,[[0.9999076]],2014-12-08 15:37:00-05:00,NVDA
